"","group_id","timepoint","shannon"
"476","Azithromycin","Day 0-2",1.09861228866811
"477","Other ABX","Day 0-2",0
"478","Other ABX","Day 4-6",1.32966134885476
"479","Azithromycin","Day 0-2",1.37958240685937
"480","Azithromycin","Day 0-2",1.66604323238932
"481","Azithromycin","Day 0-2",1.09861228866811
"482","Azithromycin","Day 0-2",0
"483","Azithromycin","Day 4-6",0
"484","Azithromycin","Day 0-2",0
"485","Azithromycin","Day 0-2",0
"486","Azithromycin","Day 0-2",1.6094379124341
"487","Azithromycin","Day 0-2",1.09861228866811
"488","Other ABX","Day 0-2",0.693147180559945
"489","Azithromycin","Day 0-2",0
"490","Azithromycin","Day 0-2",0
"491","No ABX","Day 0-2",2.05090986193805
"492","Azithromycin","Day 0-2",1.27703425946614
"493","No ABX","Day 4-6",0
"494","Other ABX","Day 0-2",1.2130075659799
"495","Azithromycin","Day 0-2",1.09861228866811
"496","Other ABX","Day 0-2",0
"497","Azithromycin","Day 0-2",1.49987700839224
"498","Other ABX","Day 0-2",0
"499","Azithromycin","Day 0-2",1.73286795139986
"500","No ABX","Day 4-6",1.03972077083992
"501","No ABX","Day 0-2",0.617241769730342
"502","Azithromycin","Day 0-2",1.82737604727699
"503","Azithromycin","Day 0-2",0.693147180559945
"504","Azithromycin","Day 0-2",1.49417513828931
"505","Azithromycin","Day 0-2",0.693147180559945
"506","Azithromycin","Day 0-2",0
"507","Other ABX","Day 0-2",1.01140426470735
"508","Azithromycin","Day 0-2",1.91108369128526
"509","Azithromycin","Day 0-2",0.636514168294813
"510","Other ABX","Day 0-2",0
"511","No ABX","Day 0-2",0
"512","Azithromycin","Day 0-2",0.693147180559945
"513","Azithromycin","Day 0-2",1.03972077083992
"514","Azithromycin","Day 0-2",1.33217904021012
"515","Azithromycin","Day 0-2",0
"516","Azithromycin","Day 0-2",0.636514168294813
"517","Azithromycin","Day 0-2",1.33979428028558
"518","Azithromycin","Day 4-6",0
"519","No ABX","Day 4-6",0.950270539233235
"520","Other ABX","Day 0-2",0
"521","Azithromycin","Day 0-2",1.84622021932163
"522","Other ABX","Day 0-2",1.91613710873331
"523","Other ABX","Day 0-2",0
"524","No ABX","Day 0-2",1.04663870439793
"525","No ABX","Day 4-6",0.348832095843032
"526","No ABX","Day 0-2",0.598269588585257
"527","Other ABX","Day 0-2",1.33217904021012
"528","Other ABX","Day 0-2",0
"529","Azithromycin","Day 0-2",0
"530","No ABX","Day 4-6",0
"531","No ABX","Day 0-2",1.05492016798614
"532","Azithromycin","Day 0-2",0
"533","Azithromycin","Day 0-2",0.901977880626658
"534","Azithromycin","Day 0-2",0.693147180559945
"535","Azithromycin","Day 0-2",0.950270539233235
"536","Azithromycin","Day 0-2",1.14484338738739
"537","No ABX","Day 0-2",1.03972077083992
"538","No ABX","Day 4-6",1.55958115625988
"539","Other ABX","Day 0-2",0.806147374662395
"540","Azithromycin","Day 4-6",2.30374386031612
"541","Azithromycin","Day 0-2",0.693147180559945
"542","Azithromycin","Day 4-6",1.242453324894
"543","No ABX","Day 0-2",1.16487291190137
"544","Azithromycin","Day 0-2",1.51634815288241
"545","Other ABX","Day 0-2",0
"546","Other ABX","Day 0-2",0
"547","Other ABX","Day 0-2",0
"548","Other ABX","Day 0-2",1.5498260458782
"549","Other ABX","Day 0-2",0
"550","Other ABX","Day 0-2",1.92512119079082
"551","No ABX","Day 0-2",1.05492016798614
"552","Azithromycin","Day 0-2",0
"553","Azithromycin","Day 0-2",0.0579075174881343
"554","Azithromycin","Day 0-2",0.676773431458796
"555","Azithromycin","Day 0-2",1.09861228866811
"556","Other ABX","Day 4-6",2.01708552520942
"557","Azithromycin","Day 0-2",2.07944154167984
"558","Azithromycin","Day 0-2",1.82007597536062
"559","Azithromycin","Day 0-2",1.01140426470735
"560","Azithromycin","Day 0-2",1.84989815186856
"561","No ABX","Day 0-2",1.15374194270109
"562","Azithromycin","Day 0-2",0
"563","No ABX","Day 0-2",1.1645953713992
"564","Azithromycin","Day 0-2",0
"565","No ABX","Day 0-2",0
"566","Azithromycin","Day 0-2",1.2366848691405
"567","No ABX","Day 0-2",1.5972914631752
"568","Azithromycin","Day 0-2",1.55986740802118
"569","Azithromycin","Day 0-2",0.636514168294813
"570","Azithromycin","Day 0-2",0.693147180559945
"571","Other ABX","Day 0-2",1.09861228866811
"572","No ABX","Day 0-2",0.562335144618808
"573","Azithromycin","Day 4-6",1.70947277658421
"574","No ABX","Day 0-2",0.693147180559945
"575","Azithromycin","Day 4-6",1.01140426470735
"576","Azithromycin","Day 4-6",0.348832095843032
"577","Azithromycin","Day 0-2",2.11430813095153
"578","Azithromycin","Day 0-2",1.76776147228933
"579","Azithromycin","Day 0-2",1.56071040904141
"580","Azithromycin","Day 0-2",1.54183273828636
"581","Azithromycin","Day 0-2",1.03972077083992
"582","Other ABX","Day 0-2",1.89640068870757
"583","No ABX","Day 4-6",1.33351549374515
"584","Other ABX","Day 0-2",1.40724566304757
"585","Azithromycin","Day 0-2",1.48748296641785
"586","No ABX","Day 0-2",1.59741671248676
"587","Other ABX","Day 0-2",1.38234305895198
"588","Azithromycin","Day 0-2",1.34315435114037
"589","No ABX","Day 4-6",0.950270539233235
"590","Azithromycin","Day 0-2",1.53777654970671
"591","Azithromycin","Day 0-2",1.66679610375721
"592","No ABX","Day 0-2",1.03972077083992
"593","Azithromycin","Day 0-2",0.625678725464963
"594","Azithromycin","Day 0-2",1.27985422583367
"595","Azithromycin","Day 0-2",1.03972077083992
"596","Other ABX","Day 0-2",1.32175583998232
"597","Other ABX","Day 0-2",1.03972077083992
"598","Azithromycin","Day 0-2",0.867563228481461
"599","No ABX","Day 0-2",1.93380999892063
