"Module","Analysis","P value","Q value","Direction"
"mod18","Longitudinal analysis - 3|4 average",6.17688243491315e-05,0.000724186216507059,"Severe"
"mod18","Longitudinal analysis - 3|5 average",0.00168152260755172,0.0120785426739631,"Severe"
"mod18","Longitudinal analysis - 3|5 shape",0.00762582420596433,0.0344275517657833,"Severe"
"mod18","Longitudinal analysis - 4|5 shape",0.00655438005765915,0.0313871721071002,"Severe"
"mod19","Longitudinal analysis - 1|5 average",4.6126693857575e-07,9.04792841052432e-06,"Mild"
"mod19","Longitudinal analysis - 1|5 shape",4.7094254874537e-05,0.000571858809190806,"Mild"
"mod19","Longitudinal analysis - 2|4 average",0.0035254812957605,0.0226162951048787,"Mild"
"mod19","Longitudinal analysis - 2|5 average",1.89112321961559e-07,4.28654596446201e-06,"Mild"
"mod19","Longitudinal analysis - 2|5 shape",3.30755421574196e-06,7.49712288901511e-05,"Mild"
"mod19","Longitudinal analysis - 3|4 average",0.00434262186206629,0.0271575857283311,"Mild"
"mod19","Longitudinal analysis - 3|5 average",5.7364970688231e-06,8.86549546999934e-05,"Mild"
"mod19","Longitudinal analysis - 3|5 shape",0.000214614533858198,0.00208482690033678,"Mild"
"mod19","Longitudinal analysis - 4|5 average",0.0157347727505033,0.0716494116317561,"Severe"
"mod19","Longitudinal analysis - 4|5 shape",0.000939523236033394,0.00682830818055386,"Mild"
"mod2","Longitudinal analysis - 1|2 average",0.0010198949070566,0.00806439887494227,"Severe"
"mod2","Longitudinal analysis - 1|3 average",5.41926621392725e-05,0.00065031194567127,"Severe"
"mod2","Longitudinal analysis - 1|4 average",8.62662287940567e-06,0.000125702219099911,"Severe"
"mod2","Longitudinal analysis - 1|5 average",2.07323365196146e-09,9.19434054348126e-08,"Severe"
"mod2","Longitudinal analysis - 1|5 shape",0.00242572923426181,0.0139787786381189,"Severe"
"mod2","Longitudinal analysis - 2|4 average",3.42301256941627e-05,0.000431046027259827,"Severe"
"mod2","Longitudinal analysis - 2|5 average",1.44433993379224e-05,0.000207496722882829,"Severe"
"mod2","Longitudinal analysis - 2|5 shape",0.00016115611662581,0.00167289325304566,"Severe"
"mod2","Longitudinal analysis - 3|4 average",0.00023184069151775,0.0022738221668087,"Severe"
"mod2","Longitudinal analysis - 3|5 average",0.00294964393234201,0.0191632917897379,"Severe"
"mod2","Longitudinal analysis - 3|5 shape",0.00698459569051542,0.0327559681670011,"Severe"
"mod2","Longitudinal analysis - 4|5 shape",0.00164600734594137,0.0103637499559271,"Severe"
"mod20","Longitudinal analysis - 1|2 average",0.0081781117557681,0.0448477096284057,"Severe"
"mod20","Longitudinal analysis - 1|3 average",0.0224442278512341,0.0942103391286369,"Severe"
"mod20","Longitudinal analysis - 1|4 average",0.000285349655788705,0.00269496897133777,"Severe"
"mod20","Longitudinal analysis - 1|5 shape",0.0348714493528334,0.114002815191955,"Mild"
"mod21","Longitudinal analysis - 1|3 average",0.0115966840645493,0.0574204744943701,"Mild"
"mod21","Longitudinal analysis - 1|4 average",0.0106788976149968,0.0541914207328194,"Mild"
"mod21","Longitudinal analysis - 1|5 average",0.000297414908235517,0.00278314868257089,"Mild"
"mod21","Longitudinal analysis - 2|4 average",0.0382206948845682,0.134431409593998,"Mild"
"mod21","Longitudinal analysis - 2|5 average",2.35647057715812e-06,4.00599998116881e-05,"Mild"
