""," Clinical Variable","TG1 Percent Difference","TG1 Rate of Clinical Event in Virus Negative Participants","TG1 Rate of Clinical Event in Virus Positive Participants","TG2 Percent Difference","TG2 Rate of Clinical Event in Virus Negative Participants","TG2 Rate of Clinical Event in Virus Positive Participants","TG3 Percent Difference","TG3 Rate of Clinical Event in Virus Negative Participants","TG3 Rate of Clinical Event in Virus Positive Participants","TG4 Percent Difference","TG4 Rate of Clinical Event in Virus Negative Participants","TG4 Rate of Clinical Event in Virus Positive Participants","TG5 Percent Difference","TG5 Rate of Clinical Event in Virus Negative Participants","TG5 Rate of Clinical Event in Virus Positive Participants","virus"
"385","comp_chf",NA,"2.1% (4/193)","NaN% (0/0)",NA,"4.8% (11/229)","NaN% (0/0)",-5.6,"5.6% (17/302)","0% (0/2)",-6.5,"6.5% (13/201)","0% (0/1)",-24,"24% (24/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"386","comp_pneumonia",NA,"53.4% (103/193)","NaN% (0/0)",NA,"69% (158/229)","NaN% (0/0)",-63.6,"63.6% (192/302)","0% (0/2)",19.9,"80.1% (161/201)","100% (1/1)",16,"84% (84/100)","100% (1/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"387","comp_bronch",NA,"0% (0/193)","NaN% (0/0)",NA,"0.4% (1/229)","NaN% (0/0)",-0.3,"0.3% (1/302)","0% (0/2)",-1.5,"1.5% (3/201)","0% (0/1)",0,"0% (0/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"388","comp_pneumo",NA,"0.5% (1/193)","NaN% (0/0)",NA,"0.9% (2/229)","NaN% (0/0)",-1.7,"1.7% (5/302)","0% (0/2)",-7.5,"7.5% (15/201)","0% (0/1)",-6,"6% (6/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"389","comp_pneumomed",NA,"0% (0/193)","NaN% (0/0)",NA,"0% (0/229)","NaN% (0/0)",0,"0% (0/302)","0% (0/2)",-3.5,"3.5% (7/201)","0% (0/1)",-5,"5% (5/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"390","comp_aat",NA,"0.5% (1/193)","NaN% (0/0)",NA,"0.4% (1/229)","NaN% (0/0)",0,"0% (0/302)","0% (0/2)",-1.5,"1.5% (3/201)","0% (0/1)",-2,"2% (2/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"391","comp_avthromb",NA,"1% (2/193)","NaN% (0/0)",NA,"4.4% (10/229)","NaN% (0/0)",-3.3,"3.3% (10/302)","0% (0/2)",-15.4,"15.4% (31/201)","0% (0/1)",-16,"16% (16/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"392","comp_shock",NA,"1% (2/193)","NaN% (0/0)",NA,"3.9% (9/229)","NaN% (0/0)",-3,"3% (9/302)","0% (0/2)",-36.8,"36.8% (74/201)","0% (0/1)",34,"66% (66/100)","100% (1/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"393","comp_bac",NA,"3.6% (7/193)","NaN% (0/0)",NA,"5.2% (12/229)","NaN% (0/0)",42.4,"7.6% (23/302)","50% (1/2)",77.1,"22.9% (46/201)","100% (1/1)",71,"29% (29/100)","100% (1/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"394","comp_coag",NA,"4.1% (8/193)","NaN% (0/0)",NA,"3.5% (8/229)","NaN% (0/0)",-1.7,"1.7% (5/302)","0% (0/2)",-5,"5% (10/201)","0% (0/1)",-6,"6% (6/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"395","comp_hypogly",NA,"0.5% (1/193)","NaN% (0/0)",NA,"1.3% (3/229)","NaN% (0/0)",-1,"1% (3/302)","0% (0/2)",-3,"3% (6/201)","0% (0/1)",-2,"2% (2/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"396","comp_bleed",NA,"1.6% (3/193)","NaN% (0/0)",NA,"2.2% (5/229)","NaN% (0/0)",-3.3,"3.3% (10/302)","0% (0/2)",90.5,"9.5% (19/201)","100% (1/1)",80,"20% (20/100)","100% (1/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"397","comp_anemia",NA,"4.7% (9/193)","NaN% (0/0)",NA,"6.1% (14/229)","NaN% (0/0)",-11.3,"11.3% (34/302)","0% (0/2)",-31.3,"31.3% (63/201)","0% (0/1)",-28,"28% (28/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"398","comp_pancreas",NA,"1.6% (3/193)","NaN% (0/0)",NA,"0% (0/229)","NaN% (0/0)",-0.3,"0.3% (1/302)","0% (0/2)",-0.5,"0.5% (1/201)","0% (0/1)",-1,"1% (1/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"399","comp_renal",NA,"6.7% (13/193)","NaN% (0/0)",NA,"15.3% (35/229)","NaN% (0/0)",-16.9,"16.9% (51/302)","0% (0/2)",-31.3,"31.3% (63/201)","0% (0/1)",42,"58% (58/100)","100% (1/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"400","comp_liver",NA,"8.8% (17/193)","NaN% (0/0)",NA,"13.1% (30/229)","NaN% (0/0)",-12.6,"12.6% (38/302)","0% (0/2)",-14.9,"14.9% (30/201)","0% (0/1)",-14,"14% (14/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"401","comp_othlab",NA,"4.1% (8/193)","NaN% (0/0)",NA,"3.5% (8/229)","NaN% (0/0)",-3.6,"3.6% (11/302)","0% (0/2)",-6,"6% (12/201)","0% (0/1)",-4,"4% (4/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"402","comp_electrolyte",NA,"4.1% (8/193)","NaN% (0/0)",NA,"1.7% (4/229)","NaN% (0/0)",-3,"3% (9/302)","0% (0/2)",-5,"5% (10/201)","0% (0/1)",-9,"9% (9/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"403","comp_othinf",NA,"3.1% (6/193)","NaN% (0/0)",NA,"2.2% (5/229)","NaN% (0/0)",-3,"3% (9/302)","0% (0/2)",-5,"5% (10/201)","0% (0/1)",-2,"2% (2/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"404","comp_othpulm",NA,"0% (0/193)","NaN% (0/0)",NA,"0% (0/229)","NaN% (0/0)",-0.3,"0.3% (1/302)","0% (0/2)",0,"0% (0/201)","0% (0/1)",0,"0% (0/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"405","comp_unddisease",NA,"2.1% (4/193)","NaN% (0/0)",NA,"0.9% (2/229)","NaN% (0/0)",-1.7,"1.7% (5/302)","0% (0/2)",-1,"1% (2/201)","0% (0/1)",-1,"1% (1/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"406","comp_enceph",NA,"0.5% (1/193)","NaN% (0/0)",NA,"1.3% (3/229)","NaN% (0/0)",-2,"2% (6/302)","0% (0/2)",-5,"5% (10/201)","0% (0/1)",-3,"3% (3/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"407","comp_othneuro",NA,"1% (2/193)","NaN% (0/0)",NA,"0.4% (1/229)","NaN% (0/0)",-1,"1% (3/302)","0% (0/2)",-0.5,"0.5% (1/201)","0% (0/1)",0,"0% (0/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"408","comp_hypergly",NA,"2.1% (4/193)","NaN% (0/0)",NA,"5.7% (13/229)","NaN% (0/0)",45,"5% (15/302)","50% (1/2)",-3,"3% (6/201)","0% (0/1)",-6,"6% (6/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"409","comp_psych",NA,"0.5% (1/193)","NaN% (0/0)",NA,"0.4% (1/229)","NaN% (0/0)",-0.3,"0.3% (1/302)","0% (0/2)",0,"0% (0/201)","0% (0/1)",0,"0% (0/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"410","comp_gastroent",NA,"1% (2/193)","NaN% (0/0)",NA,"1.7% (4/229)","NaN% (0/0)",-1.3,"1.3% (4/302)","0% (0/2)",-0.5,"0.5% (1/201)","0% (0/1)",0,"0% (0/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"411","comp_pulmvas",NA,"0% (0/193)","NaN% (0/0)",NA,"0.4% (1/229)","NaN% (0/0)",0,"0% (0/302)","0% (0/2)",0,"0% (0/201)","0% (0/1)",0,"0% (0/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"412","comp_other2",NA,"0.5% (1/193)","NaN% (0/0)",NA,"2.2% (5/229)","NaN% (0/0)",-2,"2% (6/302)","0% (0/2)",-2.5,"2.5% (5/201)","0% (0/1)",-2,"2% (2/100)","0% (0/1)","Human alphaherpesvirus 2 (HSV2).nasal"
"413","comorb_htn",NA,"56% (108/193)","NaN% (0/0)",43.9,"56.1% (128/228)","100% (1/1)",-3.7,"53.7% (161/300)","50% (2/4)",14.1,"58.6% (112/191)","72.7% (8/11)",-5.2,"71.9% (69/96)","66.7% (4/6)","Human betaherpesvirus 5 (CMV).nasal"
"414","comorb_isaric_dm",NA,"40.9% (79/193)","NaN% (0/0)",70.6,"29.4% (67/228)","100% (1/1)",17.3,"32.7% (98/300)","50% (2/4)",-16.7,"44% (84/191)","27.3% (3/11)",-34.4,"51% (49/96)","16.7% (1/6)","Human betaherpesvirus 5 (CMV).nasal"
"415","comorb_anyresp_noasthma",NA,"10.9% (21/193)","NaN% (0/0)",82.9,"17.1% (39/228)","100% (1/1)",1.7,"23.3% (70/300)","25% (1/4)",-0.1,"18.3% (35/191)","18.2% (2/11)",-21.9,"38.5% (37/96)","16.7% (1/6)","Human betaherpesvirus 5 (CMV).nasal"
"416","comorb_isaric_asthma",NA,"16.6% (32/193)","NaN% (0/0)",-17.5,"17.5% (40/228)","0% (0/1)",-13.3,"13.3% (40/300)","0% (0/4)",4.6,"13.6% (26/191)","18.2% (2/11)",7.3,"9.4% (9/96)","16.7% (1/6)","Human betaherpesvirus 5 (CMV).nasal"
"417","comorb_isaric_cardiac",NA,"24.4% (47/193)","NaN% (0/0)",75.9,"24.1% (55/228)","100% (1/1)",-29.3,"29.3% (88/300)","0% (0/4)",4.8,"22.5% (43/191)","27.3% (3/11)",-29.2,"45.8% (44/96)","16.7% (1/6)","Human betaherpesvirus 5 (CMV).nasal"
"418","comorb_isaric_ckd",NA,"11.9% (23/193)","NaN% (0/0)",88.2,"11.8% (27/228)","100% (1/1)",8.7,"16.3% (49/300)","25% (1/4)",5.6,"12.6% (24/191)","18.2% (2/11)",-30.2,"30.2% (29/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
"419","comorb_isaric_neoplasm",NA,"7.8% (15/193)","NaN% (0/0)",-9.6,"9.6% (22/228)","0% (0/1)",-10,"10% (30/300)","0% (0/4)",9.8,"8.4% (16/191)","18.2% (2/11)",-17.7,"17.7% (17/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
"420","comorb_neuro",NA,"10.4% (20/193)","NaN% (0/0)",-10.1,"10.1% (23/228)","0% (0/1)",10.7,"14.3% (43/300)","25% (1/4)",-11,"11% (21/191)","0% (0/11)",-15.6,"15.6% (15/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
"421","comorb_isaric_liver",NA,"4.7% (9/193)","NaN% (0/0)",94.7,"5.3% (12/228)","100% (1/1)",-4,"4% (12/300)","0% (0/4)",2.8,"6.3% (12/191)","9.1% (1/11)",-4.2,"4.2% (4/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
"422","comorb_hxtrans",NA,"3.6% (7/193)","NaN% (0/0)",-6.1,"6.1% (14/228)","0% (0/1)",18.7,"6.3% (19/300)","25% (1/4)",-6.8,"6.8% (13/191)","0% (0/11)",-4.2,"4.2% (4/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
"423","comorb_hiv2",NA,"3.1% (6/193)","NaN% (0/0)",0,"0% (0/228)","0% (0/1)",-1.3,"1.3% (4/300)","0% (0/4)",-1,"1% (2/191)","0% (0/11)",-1,"1% (1/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
"424","comorb_eversmkvape",NA,"31.1% (60/193)","NaN% (0/0)",-30.3,"30.3% (69/228)","0% (0/1)",19.3,"30.7% (92/300)","50% (2/4)",-13.8,"31.9% (61/191)","18.2% (2/11)",-49,"49% (47/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
"425","comorb_anysubstance",NA,"9.3% (18/193)","NaN% (0/0)",-5.7,"5.7% (13/228)","0% (0/1)",-7.3,"7.3% (22/300)","0% (0/4)",-6.8,"6.8% (13/191)","0% (0/11)",-8.3,"8.3% (8/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
"426","comorb_count",NA,"16.6% (32/193)","NaN% (0/0)",-15.8,"15.8% (36/228)","0% (0/1)",-17.3,"17.3% (52/300)","0% (0/4)",-11.5,"11.5% (22/191)","0% (0/11)",29.2,"4.2% (4/96)","33.3% (2/6)","Human betaherpesvirus 5 (CMV).nasal"
"427","comorb_countcat",NA,"16.6% (32/193)","NaN% (0/0)",-15.8,"15.8% (36/228)","0% (0/1)",-17.3,"17.3% (52/300)","0% (0/4)",-11.5,"11.5% (22/191)","0% (0/11)",29.2,"4.2% (4/96)","33.3% (2/6)","Human betaherpesvirus 5 (CMV).nasal"
"428","timesymptomcat",NA,"23.3% (45/193)","NaN% (0/0)",-19.7,"19.7% (45/228)","0% (0/1)",-20.3,"20.3% (61/300)","0% (0/4)",-17.8,"17.8% (34/191)","0% (0/11)",-28.1,"28.1% (27/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
"429","symptom_allresp",NA,"81.3% (157/193)","NaN% (0/0)",9.2,"90.8% (207/228)","100% (1/1)",-36,"86% (258/300)","50% (2/4)",-10.3,"92.1% (176/191)","81.8% (9/11)",-17.7,"84.4% (81/96)","66.7% (4/6)","Human betaherpesvirus 5 (CMV).nasal"
"430","symptom_cough",NA,"60.1% (116/193)","NaN% (0/0)",32.9,"67.1% (153/228)","100% (1/1)",-10,"60% (180/300)","50% (2/4)",-33.5,"60.7% (116/191)","27.3% (3/11)",-19.8,"53.1% (51/96)","33.3% (2/6)","Human betaherpesvirus 5 (CMV).nasal"
"431","symptom_cough_prod",NA,"15% (29/193)","NaN% (0/0)",-14.9,"14.9% (34/228)","0% (0/1)",8,"17% (51/300)","25% (1/4)",-9.9,"9.9% (19/191)","0% (0/11)",-15.6,"15.6% (15/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
"432","symptom_haemoptysis",NA,"3.6% (7/193)","NaN% (0/0)",-1.8,"1.8% (4/228)","0% (0/1)",-2,"2% (6/300)","0% (0/4)",-1.6,"1.6% (3/191)","0% (0/11)",-1,"1% (1/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
"433","symptom_sorethroat",NA,"10.4% (20/193)","NaN% (0/0)",-8.3,"8.3% (19/228)","0% (0/1)",-7.7,"7.7% (23/300)","0% (0/4)",-8.9,"8.9% (17/191)","0% (0/11)",-5.2,"5.2% (5/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
"434","symptom_rhinorrhea",NA,"8.3% (16/193)","NaN% (0/0)",-2.2,"2.2% (5/228)","0% (0/1)",-6.3,"6.3% (19/300)","0% (0/4)",4.9,"4.2% (8/191)","9.1% (1/11)",-4.2,"4.2% (4/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
"435","symptom_wheeze",NA,"4.1% (8/193)","NaN% (0/0)",-3.9,"3.9% (9/228)","0% (0/1)",-4.7,"4.7% (14/300)","0% (0/4)",-7.3,"7.3% (14/191)","0% (0/11)",-7.3,"7.3% (7/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
"436","symptom_chestpain",NA,"24.9% (48/193)","NaN% (0/0)",-21.9,"21.9% (50/228)","0% (0/1)",32.3,"17.7% (53/300)","50% (2/4)",-8.2,"17.3% (33/191)","9.1% (1/11)",21.9,"11.5% (11/96)","33.3% (2/6)","Human betaherpesvirus 5 (CMV).nasal"
"437","symptom_dyspnea",NA,"61.7% (119/193)","NaN% (0/0)",26.3,"73.7% (168/228)","100% (1/1)",-19,"69% (207/300)","50% (2/4)",-8.4,"81.2% (155/191)","72.7% (8/11)",-10.4,"77.1% (74/96)","66.7% (4/6)","Human betaherpesvirus 5 (CMV).nasal"
"438","symptom_chestwall",NA,"0% (0/193)","NaN% (0/0)",0,"0% (0/227)","0% (0/1)",0,"0% (0/299)","0% (0/4)",-0.5,"0.5% (1/191)","0% (0/11)",0,"0% (0/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
"439","symptom_earpain",NA,"0% (0/193)","NaN% (0/0)",-0.4,"0.4% (1/228)","0% (0/1)",-0.3,"0.3% (1/300)","0% (0/4)",9.1,"0% (0/191)","9.1% (1/11)",0,"0% (0/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
"440","symptom_conjunctivitis",NA,"0% (0/193)","NaN% (0/0)",0,"0% (0/228)","0% (0/1)",-0.3,"0.3% (1/300)","0% (0/4)",0,"0% (0/191)","0% (0/11)",0,"0% (0/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
"441","symptom_allsyst",NA,"77.2% (149/193)","NaN% (0/0)",20.2,"79.8% (182/228)","100% (1/1)",-46.7,"71.7% (215/300)","25% (1/4)",8.3,"64.4% (123/191)","72.7% (8/11)",-46.9,"63.5% (61/96)","16.7% (1/6)","Human betaherpesvirus 5 (CMV).nasal"
"442","symptom_fever",NA,"50.3% (97/193)","NaN% (0/0)",-57,"57% (130/228)","0% (0/1)",-49.3,"49.3% (148/300)","0% (0/4)",19.7,"44% (84/191)","63.6% (7/11)",-28.1,"44.8% (43/96)","16.7% (1/6)","Human betaherpesvirus 5 (CMV).nasal"
"443","symptom_chills",NA,"24.4% (47/193)","NaN% (0/0)",-28.9,"28.9% (66/228)","0% (0/1)",-28,"28% (84/300)","0% (0/4)",0.4,"17.8% (34/191)","18.2% (2/11)",4.2,"12.5% (12/96)","16.7% (1/6)","Human betaherpesvirus 5 (CMV).nasal"
"444","symptom_shaking",NA,"0.5% (1/193)","NaN% (0/0)",-1.8,"1.8% (4/228)","0% (0/1)",-0.7,"0.7% (2/299)","0% (0/4)",-1,"1% (2/191)","0% (0/11)",0,"0% (0/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
"445","symptom_fatigue",NA,"46.6% (90/193)","NaN% (0/0)",53.5,"46.5% (106/228)","100% (1/1)",-16.3,"41.3% (124/300)","25% (1/4)",-9.9,"37.2% (71/191)","27.3% (3/11)",-32.3,"32.3% (31/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
"446","symptom_myalgia",NA,"29.5% (57/193)","NaN% (0/0)",-31.6,"31.6% (72/228)","0% (0/1)",-21,"21% (63/300)","0% (0/4)",-1.2,"19.4% (37/191)","18.2% (2/11)",-10.4,"10.4% (10/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
"447","symptom_lymphadenopathy",NA,"0% (0/193)","NaN% (0/0)",0,"0% (0/228)","0% (0/1)",0,"0% (0/300)","0% (0/4)",0,"0% (0/191)","0% (0/11)",-1,"1% (1/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
"448","symptom_allneuro",NA,"34.7% (67/193)","NaN% (0/0)",-30.7,"30.7% (70/228)","0% (0/1)",-29.7,"29.7% (89/300)","0% (0/4)",-4.7,"31.9% (61/191)","27.3% (3/11)",-10.4,"27.1% (26/96)","16.7% (1/6)","Human betaherpesvirus 5 (CMV).nasal"
"449","symptom_headache",NA,"22.3% (43/193)","NaN% (0/0)",-18.9,"18.9% (43/228)","0% (0/1)",-16,"16% (48/300)","0% (0/4)",0.4,"17.8% (34/191)","18.2% (2/11)",-4.2,"4.2% (4/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
"450","symptom_confusion",NA,"3.1% (6/193)","NaN% (0/0)",-2.6,"2.6% (6/228)","0% (0/1)",-4.7,"4.7% (14/300)","0% (0/4)",0.2,"8.9% (17/191)","9.1% (1/11)",-13.5,"13.5% (13/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
"451","symptom_seizure",NA,"0% (0/193)","NaN% (0/0)",0,"0% (0/228)","0% (0/1)",-0.3,"0.3% (1/300)","0% (0/4)",-0.5,"0.5% (1/191)","0% (0/11)",0,"0% (0/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
"452","symptom_syncope",NA,"3.6% (7/193)","NaN% (0/0)",-0.9,"0.9% (2/228)","0% (0/1)",-1.7,"1.7% (5/300)","0% (0/4)",-0.5,"0.5% (1/191)","0% (0/11)",-3.1,"3.1% (3/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
"453","symptom_anosmia",NA,"14.5% (28/193)","NaN% (0/0)",-11.4,"11.4% (26/228)","0% (0/1)",-11,"11% (33/300)","0% (0/4)",-7.9,"7.9% (15/191)","0% (0/11)",8.3,"8.3% (8/96)","16.7% (1/6)","Human betaherpesvirus 5 (CMV).nasal"
"454","symptom_allGI",NA,"46.6% (90/193)","NaN% (0/0)",52.6,"47.4% (108/228)","100% (1/1)",-36.3,"36.3% (109/300)","0% (0/4)",-22.3,"31.4% (60/191)","9.1% (1/11)",-13.5,"30.2% (29/96)","16.7% (1/6)","Human betaherpesvirus 5 (CMV).nasal"
"455","symptom_abdpain",NA,"11.9% (23/193)","NaN% (0/0)",-10.1,"10.1% (23/228)","0% (0/1)",-8.7,"8.7% (26/300)","0% (0/4)",-8.4,"8.4% (16/191)","0% (0/11)",9.4,"7.3% (7/96)","16.7% (1/6)","Human betaherpesvirus 5 (CMV).nasal"
"456","symptom_nausea",NA,"29% (56/193)","NaN% (0/0)",-30.3,"30.3% (69/228)","0% (0/1)",-19.3,"19.3% (58/300)","0% (0/4)",-6.1,"15.2% (29/191)","9.1% (1/11)",-13.5,"13.5% (13/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
"457","symptom_diarrhea",NA,"24.4% (47/193)","NaN% (0/0)",74.6,"25.4% (58/228)","100% (1/1)",-22.7,"22.7% (68/300)","0% (0/4)",-18.3,"18.3% (35/191)","0% (0/11)",-15.6,"15.6% (15/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
"458","symptom_allderm",NA,"0.5% (1/193)","NaN% (0/0)",-0.4,"0.4% (1/228)","0% (0/1)",24.7,"0.3% (1/300)","25% (1/4)",-2.1,"2.1% (4/191)","0% (0/11)",-1,"1% (1/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
"459","symptom_skinrash",NA,"0.5% (1/193)","NaN% (0/0)",-0.4,"0.4% (1/228)","0% (0/1)",24.7,"0.3% (1/300)","25% (1/4)",-1,"1% (2/191)","0% (0/11)",0,"0% (0/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
"460","symptom_skinulcer",NA,"0% (0/193)","NaN% (0/0)",0,"0% (0/228)","0% (0/1)",0,"0% (0/300)","0% (0/4)",-1,"1% (2/191)","0% (0/11)",-1,"1% (1/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
"461","symptom_allother",NA,"10.4% (20/193)","NaN% (0/0)",-10.1,"10.1% (23/228)","0% (0/1)",-3.3,"3.3% (10/300)","0% (0/4)",-9.9,"9.9% (19/191)","0% (0/11)",-11.5,"11.5% (11/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
"462","symptom_arthralgia",NA,"8.3% (16/193)","NaN% (0/0)",-4.8,"4.8% (11/228)","0% (0/1)",-1.7,"1.7% (5/300)","0% (0/4)",-2.1,"2.1% (4/191)","0% (0/11)",-3.1,"3.1% (3/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
"463","symptom_edema",NA,"1% (2/193)","NaN% (0/0)",-3.1,"3.1% (7/228)","0% (0/1)",-0.3,"0.3% (1/300)","0% (0/4)",-3.1,"3.1% (6/191)","0% (0/11)",-5.2,"5.2% (5/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
"464","symptom_nonamb",NA,"1.6% (3/193)","NaN% (0/0)",-1.8,"1.8% (4/228)","0% (0/1)",-1.7,"1.7% (5/300)","0% (0/4)",-4.2,"4.2% (8/191)","0% (0/11)",-4.2,"4.2% (4/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
"465","symptom_bleeding",NA,"0% (0/193)","NaN% (0/0)",-0.4,"0.4% (1/228)","0% (0/1)",-0.3,"0.3% (1/300)","0% (0/4)",-0.5,"0.5% (1/191)","0% (0/11)",0,"0% (0/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
"466","ever_ever_esc",NA,"2.6% (5/193)","NaN% (0/0)",-9.6,"9.6% (22/228)","0% (0/1)",-8.3,"8.3% (25/300)","0% (0/4)",21.6,"33% (63/191)","54.5% (6/11)",-16.7,"50% (48/96)","33.3% (2/6)","Human betaherpesvirus 5 (CMV).nasal"
"467","ever_icu",NA,"3.6% (7/193)","NaN% (0/0)",-22.8,"22.8% (52/228)","0% (0/1)",57.7,"17.3% (52/300)","75% (3/4)",15.2,"84.8% (162/191)","100% (11/11)",13.5,"86.5% (83/96)","100% (6/6)","Human betaherpesvirus 5 (CMV).nasal"
"468","diedever",NA,"2.6% (5/193)","NaN% (0/0)",-3.1,"3.1% (7/228)","0% (0/1)",22.3,"2.7% (8/300)","25% (1/4)",49.5,"14.1% (27/191)","63.6% (7/11)",0,"100% (96/96)","100% (6/6)","Human betaherpesvirus 5 (CMV).nasal"
"469","ever_remdes",NA,"43% (83/193)","NaN% (0/0)",27.6,"72.4% (165/228)","100% (1/1)",-10.7,"60.7% (182/300)","50% (2/4)",-9.1,"72.8% (139/191)","63.6% (7/11)",-29.2,"62.5% (60/96)","33.3% (2/6)","Human betaherpesvirus 5 (CMV).nasal"
"470","ever_steroids",NA,"48.2% (93/193)","NaN% (0/0)",35.5,"64.5% (147/228)","100% (1/1)",-43.7,"68.7% (206/300)","25% (1/4)",-8.2,"90.1% (172/191)","81.8% (9/11)",-16.7,"83.3% (80/96)","66.7% (4/6)","Human betaherpesvirus 5 (CMV).nasal"
"471","ever_azithro",NA,"23.3% (45/193)","NaN% (0/0)",-33.3,"33.3% (76/228)","0% (0/1)",-30.3,"30.3% (91/300)","0% (0/4)",-26.8,"45% (86/191)","18.2% (2/11)",-19.8,"36.5% (35/96)","16.7% (1/6)","Human betaherpesvirus 5 (CMV).nasal"
"472","ever_otherabx",NA,"43.5% (84/193)","NaN% (0/0)",-46.1,"46.1% (105/228)","0% (0/1)",2.7,"47.3% (142/300)","50% (2/4)",11.9,"79.1% (151/191)","90.9% (10/11)",-6.2,"89.6% (86/96)","83.3% (5/6)","Human betaherpesvirus 5 (CMV).nasal"
"473","ever_conplas",NA,"3.6% (7/193)","NaN% (0/0)",-7.9,"7.9% (18/228)","0% (0/1)",19.3,"5.7% (17/300)","25% (1/4)",-1.9,"11% (21/191)","9.1% (1/11)",3.1,"13.5% (13/96)","16.7% (1/6)","Human betaherpesvirus 5 (CMV).nasal"
"474","ever_monoclonal",NA,"0% (0/193)","NaN% (0/0)",-0.9,"0.9% (2/228)","0% (0/1)",-0.3,"0.3% (1/300)","0% (0/4)",-1,"1% (2/191)","0% (0/11)",0,"0% (0/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
"475","ever_immsupp",NA,"6.2% (12/193)","NaN% (0/0)",93.9,"6.1% (14/228)","100% (1/1)",-7,"7% (21/300)","0% (0/4)",0.7,"8.4% (16/191)","9.1% (1/11)",-5.2,"5.2% (5/96)","0% (0/6)","Human betaherpesvirus 5 (CMV).nasal"
